,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest
85,113839,485578,682682.0,118110.0,afval_cluster,113838.579|485577.546,['Rest:2'],['Rest:10 m3'],Bosbraakhof,F83a,F83,F,2,0,0,0,0,2,True
86,113862,485140,740502.0,52779.0,afval_cluster,113862.373|485140.053,['Rest:2'],['Rest:8 m3'],Geertruida van Lierstraat,F84a,F84,F,0,0,0,1,1,2,True
87,113872,485295,491784.0,115537.0,afval_cluster,113871.829|485294.522,"['Rest:2', 'Glas:1', 'Papier:1']","['Rest:8 m3', 'Glas:3 m3', 'Papier:3 m3']",Rudi Bloemgartensingel,F84a,F84,F,2,0,1,1,0,4,True
88,113879,484845,568947.0,98850.0,afval_cluster,113879.330|484844.508,"['Rest:3', 'Papier:1']","['Rest:15 m3', 'Papier:5 m3']",Ladogameerhof,F84b,F84,F,3,0,1,0,0,4,True
89,113879,485717,484398.0,162579.0,afval_cluster,113879.287|485716.767,['Rest:2'],['Rest:8 m3'],Stoomgemaalstraat,F83a,F83,F,2,0,0,0,0,2,True
90,113886,485680,542731.0,28573.0,afval_cluster,113885.549|485680.118,['Rest:2'],['Rest:8 m3'],Wijmarkthof,F83a,F83,F,1,0,1,0,0,2,True
91,113891,484527,900873.0,33354.0,afval_cluster,113891.215|484527.453,['Rest:2'],['Rest:8 m3'],Dinarpromenade,F84c,F84,F,1,0,1,0,0,2,True
92,113902,485469,666353.0,133391.0,afval_cluster,113901.773|485468.821,['Rest:2'],['Rest:8 m3'],Kwelderweg,F83a,F83,F,2,0,0,0,0,2,True
93,113903,484405,618541.0,69172.0,afval_cluster,113902.837|484405.110,['Rest:2'],['Rest:8 m3'],Pesetalaan,F84c,F84,F,2,0,0,0,0,2,True
94,113906,485722,520435.0,83140.0,afval_cluster,113906.381|485722.071,['Rest:2'],['Rest:8 m3'],Waterschapstraat,F83a,F83,F,2,0,0,0,0,2,True
95,113912,484606,694458.0,102902.0,afval_cluster,113911.962|484606.243,['Rest:2'],['Rest:8 m3'],Guldenpromenade,F84c,F84,F,1,0,0,1,0,2,True
96,113913,484441,500604.0,130872.0,afval_cluster,113912.572|484440.775,['Rest:2'],['Rest:8 m3'],Dinarpromenade,F84c,F84,F,2,0,0,0,0,2,True
97,113918,485603,947076.0,36180.0,afval_cluster,113917.966|485603.044,['Rest:2'],['Rest:10 m3'],Wijmarkthof,F83a,F83,F,2,0,0,0,0,2,True
98,113919,485330,512356.0,604.0,afval_cluster,113919.168|485330.387,"['Rest:3', 'Papier:1']","['Rest:13 m3', 'Papier:5 m3']",Akerwateringstraat,F83a,F83,F,4,0,0,0,0,4,True
99,113921,485004,636935.0,115908.0,afval_cluster,113920.692|485004.373,['Rest:3'],['Rest:13 m3'],Eduard Hellendoornstraat,F84a,F84,F,3,0,0,0,0,3,True
100,113922,484871,685791.0,158030.0,afval_cluster,113921.629|484871.006,['Rest:2'],['Rest:8 m3'],Ernst Cahnsingel,F84a,F84,F,1,0,0,1,0,2,True
101,113927,484364,575979.0,151717.0,afval_cluster,113927.115|484363.900,['Rest:2'],['Rest:8 m3'],Escudolaan,F84c,F84,F,1,0,1,0,0,2,True
