,cluster_x,cluster_y,s1_afv_rel_nodes_poi,bk_afv_rel_nodes_poi,s1_afv_nodes,s1_afv_poi,mf_insert_datetime,mf_update_datetime,mf_row_hash,mf_deleted_ind,mf_run_id,type,bag,split,x,y,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
474,123732,485340,420987.0,123731.690~485339.757~afval_cluster~123731.690|485339.757,904432.0,27121.0,2020-04-01 13:57:12,2020-04-01 13:57:12,1fbd13a7-ad77-8426-a31c-23047ded06e4,False,357.0,afval_cluster,123731.690|485339.757,"['123731.690', '485339.757', 'afval_cluster', '123731.690|485339.757']",123732.0,485340.0,['Rest:4'],['Rest:20 m3'],Ringdijk,M55d,M55,M,2,2,0,0,0,4,True,999.0
475,123150,483692,47483.0,123149.977~483692.111~afval_cluster~123149.977|483692.111,530714.0,38898.0,2020-04-01 13:57:12,2020-04-01 13:57:12,91351ef9-efc5-fe3d-158a-5b9ddd409325,False,357.0,afval_cluster,123149.977|483692.111,"['123149.977', '483692.111', 'afval_cluster', '123149.977|483692.111']",123150.0,483692.0,['Rest:6'],['Rest:18 m3'],Spaklerweg,M58g,M58,M,4,0,2,0,0,6,True,999.0
476,120479,489097,288321.0,120478.708~489097.011~afval_cluster~120478.708|489097.011,771674.0,76379.0,2020-04-01 13:57:12,2020-04-01 13:57:12,fda8d87a-9ff2-e39b-f9d1-ef017ebcd249,False,357.0,afval_cluster,120478.708|489097.011,"['120478.708', '489097.011', 'afval_cluster', '120478.708|489097.011']",120479.0,489097.0,['Rest:1'],['Rest:5 m3'],Spaarndammerstraat,E13c,E13,E,1,0,0,0,0,1,True,999.0
477,120845,482962,370700.0,120844.850~482961.897~afval_cluster~120844.850|482961.897,854117.0,616.0,2020-04-01 13:57:12,2020-04-01 13:57:12,c122bc3b-dc0d-9cb3-c3cf-bd74469ca639,False,357.0,afval_cluster,120844.850|482961.897,"['120844.850', '482961.897', 'afval_cluster', '120844.850|482961.897']",120845.0,482962.0,"['Plastic:1', 'Textiel:1']","['Plastic:4 m3', 'Textiel:3 m3']",De Klencke,K91a,K91,K,1,0,1,0,0,2,True,999.0
478,128824,485403,66756.0,128823.669~485402.563~afval_cluster~128823.669|485402.563,550000.0,130394.0,2020-04-01 13:57:12,2020-04-01 13:57:12,73515dfc-226b-c5e2-140e-2a5b17301ead,False,357.0,afval_cluster,128823.669|485402.563,"['128823.669', '485402.563', 'afval_cluster', '128823.669|485402.563']",128824.0,485403.0,['Rest:4'],['Rest:12 m3'],Bert Haanstrakade,M35f,M35,M,2,0,1,1,0,4,True,999.0
479,122360,485054,313613.0,122359.653~485053.527~afval_cluster~122359.653|485053.527,796984.0,33.0,2020-04-01 13:57:12,2020-04-01 13:57:12,9872343b-6cc1-9e1a-6c9c-4a2c318e72b6,False,357.0,afval_cluster,122359.653|485053.527,"['122359.653', '485053.527', 'afval_cluster', '122359.653|485053.527']",122360.0,485054.0,['Rest:1'],['Rest:5 m3'],Amsteldijk,K26a,K26,K,0,0,1,0,0,1,True,999.0
480,119054,485991,403123.0,119054.372~485991.116~afval_cluster~119054.372|485991.116,886558.0,93497.0,2020-04-01 13:57:12,2020-04-01 13:57:12,c8fc8e64-4ade-9a51-b386-c3e0b0748b3b,False,357.0,afval_cluster,119054.372|485991.116,"['119054.372', '485991.116', 'afval_cluster', '119054.372|485991.116']",119054.0,485991.0,['Rest:6'],['Rest:30 m3'],Rhijnvis Feithstraat,E21a,E21,E,4,0,2,0,0,6,True,999.0
481,119789,487405,119467.0,119788.509~487405.052~afval_cluster~119788.509|487405.052,602738.0,104843.0,2020-04-01 13:57:12,2020-04-01 13:57:12,b99ca10f-b773-5e7a-0cc0-d68ee9e5e548,False,357.0,afval_cluster,119788.509|487405.052,"['119788.509', '487405.052', 'afval_cluster', '119788.509|487405.052']",119789.0,487405.0,['Rest:1'],['Rest:5 m3'],Van Reigersbergenstraat,E16c,E16,E,1,0,0,0,0,1,True,999.0
482,120229,488302,217164.0,120228.760~488302.126~afval_cluster~120228.760|488302.126,700482.0,19107.0,2020-04-01 13:57:12,2020-04-01 13:57:12,4906badc-fa28-6ad8-83a8-6590c4881ab3,False,357.0,afval_cluster,120228.760|488302.126,"['120228.760', '488302.126', 'afval_cluster', '120228.760|488302.126']",120229.0,488302.0,['Rest:1'],['Rest:5 m3'],Jacob Catskade,E14b,E14,E,1,0,0,0,0,1,True,999.0
483,122415,483843,28475.0,122415.153~483843.234~afval_cluster~122415.153|483843.234,511693.0,27322.0,2020-04-01 13:57:12,2020-04-01 13:57:12,3b924585-af4e-bef7-3f4d-c344452c87ae,False,357.0,afval_cluster,122415.153|483843.234,"['122415.153', '483843.234', 'afval_cluster', '122415.153|483843.234']",122415.0,483843.0,['Rest:3'],['Rest:12 m3'],Eemsstraat,K54b,K54,K,1,0,1,0,1,3,True,999.0
