,cluster_x,cluster_y,s1_afv_nodes,s1_afv_poi,type,bag,aantal_per_fractie,volume_per_fractie,street_name,buurt,wijk,stadsdeel,rest,plastic,papier,glas,textiel,totaal,move_rest,rest_threshold
19,120710,482178,561477.0,37505.0,afval_cluster,120709.616|482178.098,['Rest:2'],['Rest:8 m3'],Tongelaer,K91c,K91,K,2,0,0,0,0,2,True,0.0
20,120902,488011,629399.0,40692.0,afval_cluster,120901.563|488011.140,['Rest:1'],['Rest:3 m3'],Prinsengracht,A06l,A06,A,1,0,0,0,0,1,False,0.0
21,121089,488238,953346.0,142952.0,afval_cluster,121089.138|488237.661,['Textiel:1'],['Textiel:3 m3'],Korte Prinsengracht,A05b,A05,A,0,0,0,0,1,1,False,0.0
22,121190,488201,731786.0,12719.0,afval_cluster,121189.514|488200.719,['Papier:1'],['Papier:5 m3'],Haarlemmerstraat,A05b,A05,A,0,0,1,0,0,1,False,0.0
23,121248,488641,890609.0,76329.0,afval_cluster,121248.383|488641.194,['Rest:2'],['Rest:6 m3'],Westerdok,A05a,A05,A,2,0,0,0,0,2,True,0.0
24,121503,484785,764146.0,82751.0,afval_cluster,121503.486|484785.362,['Rest:2'],['Rest:10 m3'],Mesdagstraat,K26c,K26,K,2,0,0,0,0,2,True,0.0
25,121555,485773,686335.0,84823.0,afval_cluster,121554.961|485773.161,"['Glas:1', 'Papier:1']","['Glas:3 m3', 'Papier:3 m3']",Nicolaas Witsenstraat,A07f,A07,A,0,0,1,1,0,2,False,0.0
26,121755,484449,966335.0,106284.0,afval_cluster,121754.999|484449.354,"['Rest:1', 'Glas:1']","['Rest:4 m3', 'Glas:3 m3']",Churchill-laan,K53a,K53,K,1,0,0,1,0,2,True,0.0
27,121771,484737,710309.0,106104.0,afval_cluster,121771.451|484737.156,['Rest:1'],['Rest:5 m3'],Pieter Lodewijk Takstraat,K26b,K26,K,1,0,0,0,0,1,True,0.0
28,121794,485599,604390.0,153932.0,afval_cluster,121793.694|485598.854,['Rest:1'],['Rest:5 m3'],Van Woustraat,K24a,K24,K,1,0,0,0,0,1,False,0.0
29,121799,484326,964562.0,126422.0,afval_cluster,121798.963|484325.742,"['Rest:1', 'Glas:1', 'Papier:1', 'Plastic:1']","['Rest:5 m3', 'Glas:5 m3', 'Papier:5 m3', 'Plastic:5 m3']",Merwedeplein,K52d,K52,K,1,1,1,1,0,4,True,0.0
30,122123,484197,572542.0,33516.0,afval_cluster,122122.572|484196.926,"['Rest:2', 'Papier:1']","['Rest:8 m3', 'Papier:4 m3']",Hunzestraat,K52d,K52,K,2,0,1,0,0,3,True,0.0
31,122233,484941,514803.0,4283.0,afval_cluster,122233.360|484941.160,['Rest:1'],['Rest:5 m3'],Saffierstraat,K26a,K26,K,1,0,0,0,0,1,True,0.0
32,122242,485677,964629.0,120522.0,afval_cluster,122241.515|485677.390,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:4 m3', 'Papier:5 m3']",Weesperzijde,M27a,M27,M,1,0,1,1,0,3,True,0.0
33,122400,485284,863965.0,82049.0,afval_cluster,122400.059|485284.102,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:4 m3', 'Papier:5 m3']",Weesperzijde,M27b,M27,M,1,0,1,1,0,3,True,0.0
34,122501,485103,818590.0,20916.0,afval_cluster,122501.171|485103.049,"['Rest:1', 'Glas:1', 'Papier:1']","['Rest:5 m3', 'Glas:4 m3', 'Papier:5 m3']",Weesperzijde,M27b,M27,M,1,0,1,1,0,3,True,0.0
35,122507,485389,593628.0,60059.0,afval_cluster,122506.546|485388.628,['Rest:1'],['Rest:5 m3'],Oetgensdwarsstraat,M27b,M27,M,1,0,0,0,0,1,True,0.0
